key,name,sortOrder,japanese,instrument,website,group,altEnglish,altJapanese,altWebsite,altWebsite2
hiroshi-kojima,Hiroshi Kojima,Kojima; Hiroshi,小島洋,saxophone,https://www.facebook.com/hiroshi.kojima.92754,,,,,
hiroshi-minami,Hiroshi Minami,Minami; Hiroshi,南博,piano,https://minamihiroshi.com/,,,,,
hiroshi-murakami,Hiroshi Murakami,Murakami; Hiroshi,村上寛,drums,https://ameblo.jp/hmd314/,,,,,
hiroshi-sugano,Hiroshi Sugano,Sugano; Hiroshi,菅野浩,sax,https://hiroshi-sugano.com/,,,,,
hiroshi-suzuki,Hiroshi Suzuki,Suzuki; Hiroshi,鈴木広志,saxophone,http://www.suzuki-hiroshi.com/,,,,,
hiroshi-takase,Hiroshi Takase,Takase; Hiroshi,高瀬裕,bass,http://www.takasehiroshi.com/,,,,,
hiroshi-yoshino,Hiroshi Yoshino,Yoshino; Hiroshi,吉野弘志,bass,https://emeregueponchi1955.jimdofree.com/,,,,,
hirotsugu-sakemoto,Hirotsugu Sakemoto,Sakemoto; Hirotsugu,酒本廣継,trombone,https://trbsakejazz.wixsite.com/swingin--trombone,,,,,
hiroyasu-sugano,Hiroyasu Sugano,Sugano; Hiroyasu,菅野博靖,vocal,,,,,,
hiroyoshi-horie,Hiroyoshi Horie,Horie; Hiroyoshi,堀江洋賀,guitar,https://ameblo.jp/creamsoda-okawari/,,,,https://armadillo-armadillo.jimdofree.com/%E5%A0%80%E6%B1%9F%E6%B4%8B%E8%B3%80/,
hiroyuki-ishikawa,Hiroyuki Ishikawa,Ishikawa; Hiroyuki,石川広行,trumpet,https://ameblo.jp/voice-to-voices/,,,,,
hiroyuki-kubota,Hiroyuki Kubota,Kubota; Hiroyuki,久保田浩之,guitar,https://www.instagram.com/kubota335_guitar/,,kubota (from Jill-Decoy association),,,
hiroyuki-takubo,Hiroyuki Takubo,Takubo; Hiroyuki,田窪寛之,piano,https://hirotakubo.exblog.jp/,,,,,
hiroyuki-yamaguchi,Hiroyuki Yamaguchi,Yamaguchi; Hiroyuki,山口裕之,bass,https://www.hiroyukiyamaguchi.net/,,,,,
hiroyuki-yamamoto,Hiroyuki Yamamoto,Yamamoto; Hiroyuki,山本裕之,bass,http://hiroyukiyamamoto.com/,,,,,
hisatsugu-suzuki,Hisatsugu Suzuki,Suzuki; Hisatsugu,鈴木央紹,saxophone,http://www.hisax.net/,,,,,
hitomi-aikawa,Hitomi Aikawa,Aikawa; Hitomi,相川瞳,percussion,https://www.hitomiaikawa.com/,,,,,
hitomi-nishiyama,Hitomi Nishiyama,Nishiyama; Hitomi,西山瞳,piano,https://hitominishiyama.net/,1,,,,
hitomi-yamakami,Hitomi Yamakami,Yamakami; Hitomi,ヤマカミヒトミ,saxophone,https://hitomiya.exblog.jp/,,,,,
